guesty_id,name,year,month,reservations,occupied_nights,available_nights,occupancy,adr,revpar,gross_revenue
63c19733d0eeec00353b9e72,300 Sherman Ave,2024,9,7,21,30,0.7000,1044.37,731.06,21931.79
63c19733d0eeec00353b9e72,300 Sherman Ave,2024,10,7,22,31,0.7097,1278.11,907.04,28118.39
63c19733d0eeec00353b9e72,300 Sherman Ave,2024,11,6,22,30,0.7333,879.41,644.90,19347.07
63c19733d0eeec00353b9e72,300 Sherman Ave,2024,12,5,17,31,0.5484,745.53,408.84,12674.06
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,1,6,16,31,0.5161,625.69,322.94,10011.09
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,2,6,16,28,0.5714,723.16,413.23,11570.57
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,3,6,25,31,0.8065,779.14,628.34,19478.47
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,4,4,16,30,0.5333,1453.40,775.14,23254.33
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,5,9,24,31,0.7742,1090.47,844.24,26171.33
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,6,6,23,30,0.7667,766.86,587.93,17637.85
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,7,5,26,31,0.8387,762.25,639.31,19818.51
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,8,6,24,31,0.7742,922.37,714.10,22136.99
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,9,8,23,30,0.7667,975.74,748.07,22441.96
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,10,7,21,31,0.6774,1551.63,1051.10,32584.16
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,11,4,15,30,0.5000,945.82,472.91,14187.33
63c19733d0eeec00353b9e72,300 Sherman Ave,2025,12,6,18,31,0.5806,552.65,320.89,9947.67
63c19733d0eeec00353b9e72,300 Sherman Ave,2026,1,5,14,31,0.4516,562.94,254.23,7881.17
63c19733d0eeec00353b9e72,300 Sherman Ave,2026,2,4,12,28,0.4286,608.68,260.86,7304.20
63c19733d0eeec00353b9e72,300 Sherman Ave,2026,3,6,15,31,0.4839,751.73,363.74,11275.93
63c19733d0eeec00353b9e72,300 Sherman Ave,2026,4,7,23,30,0.7667,990.41,759.31,22779.35
63c19733d0eeec00353b9e72,300 Sherman Ave,2026,5,7,24,31,0.7742,826.26,639.68,19830.16
